Type,Description,Amount,Date,Status
,NL Hold'em - ?50 Friday Main Event,1047.42 USDT,2025-06-20 20:10:51 GMT-3 | 362492788,Approved
,NL Hold'em - ?50 Sprint,97.29 USDT,2025-06-20 19:10:53 GMT-3 | 362440608,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,229.26 USDT,2025-06-20 18:31:30 GMT-3 | 362406751,Approved
,NL Hold'em - ?50 Sprint,-50 USDT,2025-06-20 18:09:21 GMT-3 | 362385912,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,48.69 USDT,2025-06-20 18:03:01 GMT-3 | 362379842,Approved
,NL Hold'em - ?25 6-Max,0 USDT,2025-06-20 16:46:06 GMT-3 | 362316339,Approved
,NL Hold'em - ?50 Deepstack Turbo,420 USDT,2025-06-20 16:14:41 GMT-3 | 362294990,Approved
,NL Hold'em - ?25 6-Max,-25 USDT,2025-06-20 15:51:26 GMT-3 | 362278434,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-20 15:46:00 GMT-3 | 362273979,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-20 15:09:31 GMT-3 | 362246214,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-20 15:09:26 GMT-3 | 362246149,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-20 14:54:06 GMT-3 | 362234566,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-20 14:53:59 GMT-3 | 362234471,Approved
,NL Hold'em - ?50 Classic,0 USDT,2025-06-20 13:24:59 GMT-3 | 362164670,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-20 13:17:00 GMT-3 | 362159512,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-20 13:17:00 GMT-3 | 362159514,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-20 13:16:53 GMT-3 | 362159442,Approved
,NL Hold'em - ?25 Deepstack Turbo,0 USDT,2025-06-20 12:53:15 GMT-3 | 362143908,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-20 12:10:38 GMT-3 | 362115457,Approved
